TP,FN,FP,TN,Accuracy,Sensitivity,Specificity,F1,Precision,
842,139,350,631,0.75,0.86,0.64,0.77,0.71,
841,140,349,632,0.75,0.86,0.64,0.77,0.71,
843,138,352,629,0.75,0.86,0.64,0.77,0.71,
842,139,351,630,0.75,0.86,0.64,0.77,0.71,
841,140,350,631,0.75,0.86,0.64,0.77,0.71,
840,141,349,632,0.75,0.86,0.64,0.77,0.71,
842,139,352,629,0.75,0.86,0.64,0.77,0.71,
841,140,351,630,0.75,0.86,0.64,0.77,0.71,
840,141,350,631,0.75,0.86,0.64,0.77,0.71,
839,142,349,632,0.75,0.86,0.64,0.77,0.71,
840,141,351,630,0.75,0.86,0.64,0.77,0.71,
839,142,350,631,0.75,0.86,0.64,0.77,0.71,
839,142,351,630,0.75,0.86,0.64,0.77,0.71,
